iter	Passed	Remaining
190	1437	2325
191	1451	2329
192	1461	2325
193	1470	2318
194	1476	2308
195	1484	2302
196	1491	2294
197	1501	2289
198	1508	2281
199	1520	2280
200	1530	2275
201	1540	2272
202	1544	2259
203	1555	2256
204	1561	2246
205	1572	2244
206	1589	2250
207	1598	2244
208	1605	2235
209	1613	2228
210	1619	2218
211	1627	2211
212	1633	2201
213	1643	2196
214	1651	2189
215	1657	2178
216	1667	2174
217	1673	2165
218	1680	2155
219	1688	2149
220	1697	2142
221	1706	2136
222	1710	2124
223	1719	2118
224	1728	2113
225	1734	2103
226	1742	2095
227	1748	2085
228	1754	2076
229	1762	2068
230	1766	2056
231	1773	2049
232	1782	2042
233	1786	2031
234	1797	2026
235	1801	2015
236	1810	2008
237	1818	2001
238	1825	1993
239	1832	1985
240	1837	1975
241	1845	1967
242	1850	1957
243	1857	1949
244	1865	1941
245	1871	1932
246	1878	1923
247	1883	1913
248	1889	1904
249	1895	1895
250	1903	1887
251	1910	1880
252	1916	1870
253	1923	1862
254	1932	1856
255	1938	1847
256	1943	1837
257	1950	1829
258	1958	1822
259	1962	1811
260	1967	1801
261	1973	1792
262	1977	1782
263	1982	1772
264	1987	1762
265	1994	1754
266	2001	1746
267	2008	1738
268	2016	1731
269	2025	1725
270	2033	1718
271	2040	1710
272	2049	1703
273	2057	1696
274	2070	1693
275	2075	1684
276	2083	1676
277	2089	1668
278	2094	1658
279	2100	1650
280	2107	1642
281	2113	1633
282	2121	1627
283	2127	1617
284	2137	1612
285	2144	1604
286	2150	1596
287	2157	1588
288	2164	1580
289	2170	1572
290	2177	1564
291	2181	1553
292	2189	1546
293	2197	1539
294	2204	1531
295	2212	1524
296	2216	1515
297	2222	1506
298	2226	1496
299	2232	1488
300	2238	1480
301	2243	1471
302	2251	1464
303	2256	1455
304	2261	1445
305	2266	1436
306	2271	1428
307	2277	1419
308	2282	1411
309	2288	1402
310	2293	1393
311	2297	1384
312	2305	1377
313	2311	1369
314	2318	1361
315	2323	1353
316	2333	1346
317	2337	1337
318	2342	1329
319	2349	1321
320	2355	1313
321	2359	1304
322	2366	1296
323	2372	1288
324	2378	1280
325	2386	1273
326	2393	1266
327	2401	1259
328	2409	1252
329	2416	1244
330	2424	1237
331	2433	1231
332	2439	1223
333	2446	1215
334	2454	1208
335	2463	1202
336	2469	1194
337	2477	1187
338	2484	1179
339	2489	1171
340	2498	1165
341	2510	1159
342	2518	1152
343	2525	1145
344	2534	1138
345	2543	1132
346	2554	1126
347	2564	1120
348	2572	1113
349	2581	1106
350	2589	1099
351	2600	1093
352	2608	1086
353	2616	1079
354	2625	1072
355	2634	1065
356	2641	1057
357	2648	1050
358	2656	1043
359	2664	1036
360	2670	1028
361	2678	1021
362	2685	1013
363	2696	1007
364	2704	1000
365	2712	993
366	2721	986
367	2727	978
368	2733	970
369	2741	963
370	2754	957
371	2763	950
372	2771	943
373	2778	936
374	2786	928
375	2792	920
376	2796	912
377	2808	906
378	2817	899
379	2825	892
380	2832	884
381	2841	877
382	2847	869
383	2856	863
384	2864	855
385	2872	848
386	2877	840
387	2886	833
388	2893	825
389	2902	818
390	2907	810
391	2914	802
392	2919	794
393	2933	789
394	2941	782
395	2954	775
396	2965	769
397	2974	762
398	2984	755
399	2990	747
400	2999	740
401	3009	733
402	3019	726
403	3024	718
404	3031	711
405	3036	703
406	3041	694
407	3050	687
408	3055	679
409	3061	672
410	3071	665
411	3079	657
412	3084	649
413	3091	642
414	3098	634
415	3104	626
416	3110	619
417	3123	612
418	3131	605
419	3139	598
420	3148	590
421	3156	583
422	3163	575
423	3175	569
424	3182	561
425	3189	554
426	3198	546
427	3205	539
428	3211	531
429	3219	524
430	3225	516
431	3231	508
432	3242	501
433	3247	493
434	3254	486
435	3260	478
436	3267	471
437	3275	463
438	3281	456
439	3290	448
440	3301	441
441	3307	434
442	3313	426
443	3323	419
444	3330	411
445	3338	404
446	3349	397
447	3358	389
448	3366	382
449	3373	374
450	3378	367
451	3385	359
452	3394	352
453	3401	344
454	3414	337
455	3421	330
456	3430	322
457	3437	315
458	3444	307
459	3453	300
460	3461	292
461	3468	285
462	3479	278
463	3486	270
464	3493	262
465	3502	255
466	3512	248
467	3517	240
468	3525	233
469	3537	225
470	3543	218
471	3555	210
472	3561	203
473	3569	195
474	3575	188
475	3580	180
476	3589	173
477	3598	165
478	3608	158
479	3616	150
480	3628	143
481	3636	135
482	3643	128
483	3654	120
484	3661	113
485	3669	105
486	3676	98
487	3681	90
488	3687	82
489	3694	75
490	3704	67
491	3709	60
492	3716	52
493	3724	45
494	3731	37
495	3736	30
496	3740	22
497	3746	15
498	3752	7
499	3759	0
