iter	MultiClass
147	0.5383125446
148	0.5374734456
149	0.5371841588
150	0.5362185775
151	0.5345356052
152	0.5339824042
153	0.5333138345
154	0.5323960493
155	0.5308685284
156	0.5302053677
157	0.5296029814
158	0.5287760491
159	0.5276011075
160	0.5269160467
161	0.5261338669
162	0.52592374
163	0.5250324516
164	0.524031135
165	0.5228521111
166	0.5223141327
167	0.5214741344
168	0.5207780127
169	0.5202535537
170	0.5197167084
171	0.5186942232
172	0.5176262942
173	0.5161200196
174	0.514718527
175	0.5141660462
176	0.5130789088
177	0.5120956764
178	0.5115890194
179	0.5109757554
180	0.5103852527
181	0.5096032761
182	0.5089084718
183	0.5078792331
184	0.5064768919
185	0.5058349241
186	0.5052633821
187	0.504773323
188	0.5039559064
189	0.5030915902
190	0.5022130019
191	0.5017754361
192	0.5009571997
193	0.4994119543
194	0.4989170736
195	0.4978458244
196	0.4972313165
197	0.4965336158
198	0.4962408166
199	0.4956185443
200	0.4945934131
201	0.493544408
202	0.4924806195
203	0.4915146604
204	0.4908032821
205	0.4902503501
206	0.48907337
207	0.4882270395
208	0.4873762583
209	0.4866754708
210	0.4859023914
211	0.4849760746
212	0.4840135662
213	0.4828028538
214	0.481579265
215	0.4810283863
216	0.4795859069
217	0.4784669811
218	0.4776989103
219	0.4770035618
220	0.4756292326
221	0.4741746012
222	0.4732262579
223	0.4728842156
224	0.4714579281
225	0.4702814243
226	0.4692681338
227	0.4685569258
228	0.4676317416
229	0.4670954187
230	0.4668111121
231	0.4659619194
232	0.4654646312
233	0.4650768523
234	0.4642739989
235	0.4638833662
236	0.4633644141
237	0.4626416725
238	0.4622120888
239	0.4616448445
240	0.4610571831
241	0.4597449882
242	0.4590964246
243	0.458682255
244	0.4581046023
245	0.4573062967
246	0.4569357764
247	0.4562580664
248	0.4557444033
249	0.4550630901
250	0.4540802381
251	0.4529270373
252	0.4527562493
253	0.4517874463
254	0.4510858557
255	0.4503663954
256	0.449765736
257	0.4489875992
258	0.4485600405
259	0.4476264874
260	0.4465695
261	0.445615868
262	0.4450586063
263	0.4440124297
264	0.4429445575
265	0.4422620545
266	0.4413809425
267	0.4400205878
268	0.439040471
269	0.4385620957
270	0.4380085162
271	0.4377481104
272	0.4365466067
273	0.4359450488
274	0.4345402038
275	0.4340633292
276	0.4335188476
277	0.432693317
278	0.4322605957
279	0.4311977912
280	0.4305499577
281	0.4296238774
282	0.4285304119
283	0.4279680856
284	0.4277380056
285	0.4271332261
286	0.4265349254
287	0.4262872412
288	0.4253722633
289	0.4251265224
290	0.4243098351
291	0.4238120533
292	0.4228663871
293	0.4216337454
294	0.4211833897
295	0.4202752547
296	0.419106544
297	0.418035852
298	0.4176365471
299	0.417381506
300	0.4165283028
301	0.4161610779
302	0.4155410764
303	0.4148823172
304	0.4145849305
305	0.4139712966
306	0.4136424307
307	0.4130629404
308	0.4121973635
309	0.4117513125
310	0.4111910169
311	0.4105263795
312	0.410230905
313	0.409666681
314	0.4092823444
315	0.4090130744
316	0.408238791
317	0.4076746152
318	0.407273468
319	0.4069268438
320	0.4065933077
321	0.4063021723
322	0.4058015675
323	0.4049750306
324	0.4040967782
325	0.4034782743
326	0.4032077478
327	0.4027912687
328	0.4019920249
329	0.4012072092
330	0.4007227956
331	0.4000097349
332	0.3997955777
333	0.3994344561
334	0.3984219286
335	0.3975412843
336	0.396403157
337	0.3959181792
338	0.3956529793
339	0.3952600593
340	0.394962923
341	0.3947523575
342	0.3944060832
343	0.3936953582
344	0.3927397506
345	0.3924751471
346	0.3916798
347	0.3907431558
348	0.3904169844
349	0.389801428
350	0.3896006522
351	0.3892028978
352	0.3888343847
353	0.3881945306
354	0.3875323987
355	0.3871419192
356	0.3867485294
357	0.386415806
358	0.3860395552
359	0.3858141544
360	0.3847854189
361	0.3842321897
362	0.3832798926
363	0.3825972251
364	0.3817626357
365	0.3814372097
366	0.3811285938
367	0.3809489009
368	0.3803060866
369	0.3794658885
370	0.3791590526
371	0.378658277
372	0.3780732469
373	0.3770668385
374	0.3768804492
375	0.3761342386
376	0.3756989125
377	0.3752645473
378	0.3751056267
379	0.374763157
380	0.3744191609
381	0.3737367731
382	0.3734260944
383	0.3723942393
384	0.3720948168
385	0.3717357426
386	0.3714873707
387	0.3710736338
388	0.3706983419
389	0.3705809722
390	0.3703343988
391	0.3695738401
392	0.3688436039
393	0.3684133547
394	0.3677205152
395	0.3674900041
396	0.3670561581
397	0.3666347603
398	0.3661519052
399	0.3655121273
400	0.3650116503
401	0.364469483
402	0.3640024039
403	0.3637788747
404	0.3632045617
405	0.3627860818
406	0.3617997981
407	0.3614043905
408	0.3608480738
409	0.3605590101
410	0.3596143142
411	0.3592846369
412	0.3589891888
413	0.3587112223
414	0.3580589087
415	0.3577819074
416	0.3576024853
417	0.3567328606
418	0.3565584402
419	0.3558706043
420	0.3554448993
421	0.3550813808
422	0.354722988
423	0.3542815272
424	0.3537224232
425	0.3530333542
426	0.3525892485
427	0.3521330669
428	0.3518309145
429	0.3516106367
430	0.3508662312
431	0.3501934724
432	0.3491559491
433	0.348694569
434	0.3484467323
435	0.3481470504
436	0.3477750901
437	0.3474330008
438	0.3467588535
439	0.346455015
440	0.346155947
441	0.3459336549
442	0.3454997347
443	0.3446578605
444	0.344166042
445	0.3435959943
446	0.343365688
447	0.3429883908
448	0.3426257054
449	0.3421700823
450	0.3418974745
451	0.3415127436
452	0.3413289617
453	0.340662315
454	0.3401770733
455	0.339958928
456	0.339508947
457	0.3391774071
458	0.3388272544
459	0.3385177226
460	0.3382167793
461	0.3380955293
462	0.3378588024
463	0.3373685292
464	0.3367785216
465	0.3364467415
466	0.3362091639
467	0.3354387123
468	0.3350201978
469	0.3344060652
470	0.3339966795
471	0.3336984349
472	0.3334601489
473	0.3329933737
474	0.3325703244
475	0.3323535496
476	0.3321839393
477	0.3317268791
478	0.3313205686
479	0.3310934949
480	0.3307682984
481	0.3306068477
482	0.3298623594
483	0.3295926874
484	0.3292495491
485	0.3288795214
486	0.3287875355
487	0.328526519
488	0.3282566427
489	0.327674929
490	0.3274769716
491	0.3269623709
492	0.3265914144
493	0.3263892581
494	0.3260592472
495	0.3258289072
496	0.3255462505
497	0.325285577
498	0.3249103317
499	0.3245731846
