Date,MACD_Signal,BB_Width,RSI_lag1,ATR_Pct,SMA20_Dist,Stoch_K,ROC_roll5_mean,Volume_Ratio,CCI,Price_Direction_30d
1999-04-05,4.303841260577519e-05,0.16590224884089017,53.267613058492806,0.07084855041563261,-0.03563896569584041,59.00792408310159,-0.7948893090778268,1.0968189581554226,-2430.15935883326,1
1999-04-06,-1.8134755590383094e-05,0.17108053439771562,50.30472314342873,0.07163244887087092,-0.055301120902859276,43.71144273220325,-3.0705971749571357,0.7776557855555258,-2246.2155628395963,1
1999-04-07,-3.8172517720350063e-05,0.15791126566871672,48.00556989086468,0.06732043819430117,0.026580799692265015,48.084269409005486,-2.4571406961252373,1.0270568746548867,-2462.7681923999016,1
1999-04-08,-1.882958990179868e-05,0.15365665614356924,55.179097848621026,0.06517369643021528,0.04570542122565052,61.19854447959908,-1.3577935150759655,1.593393675796403,-2537.5294848966887,0
1999-04-09,1.176492079063866e-05,0.15495969571594634,56.664674549561106,0.06372448723171541,0.026737400684759813,75.40392269034504,0.6640122824925341,0.5974638749631377,-2526.145480014922,0
1999-04-12,1.8696175924334466e-05,0.1556931778360327,54.71177470204224,0.0661818708898221,-0.015443373502076021,67.7535816332727,2.6339925088379217,0.42429615137712834,-2467.784860489151,0
1999-04-13,-1.662102551781841e-05,0.15920745762394856,50.34977690905838,0.06958842916126749,-0.05069982682314377,49.72093461065073,4.191258417840706,0.48270777909548385,-2352.057173381731,0
1999-04-14,-9.521209339796721e-05,0.174217456868126,46.63152166254129,0.07012604774427164,-0.07420487927126372,25.67879990614798,2.101848609927356,0.6584631496269145,-2116.15223695688,0
1999-04-15,-0.00017998090627140975,0.17901217993601176,44.200157102221446,0.06528087632859053,-0.046147754183849816,14.315277523751627,-1.0246388502220853,0.49416200840141566,-1949.5503016836624,0
1999-04-16,-0.00024299529013241923,0.17636152614997472,46.85310174233872,0.062529446877593,-0.012580654542492466,16.3454668405545,-2.858906668946708,0.5392466504870508,-1946.6883304746968,0
1999-04-19,-0.00031760211821598306,0.1790847513175582,50.05169016257152,0.06590531840497352,-0.05134064355680172,18.905791803626872,-6.055066668620327,0.456950625503732,-1940.5911407181036,0
1999-04-20,-0.0004073003559794653,0.1895883545798111,45.88745368872324,0.067464290882064,-0.06597752603921231,15.633574612068083,-7.94906031593718,0.9663160058938423,-1865.6548966107048,0
1999-04-21,-0.0004904408543410965,0.19156565143815177,44.19115925138702,0.06349643182402856,-0.04985989352911044,8.996164359461494,-6.802991132249334,0.5883682386620461,-1782.0975855743545,0
1999-04-22,-0.0005910057227262764,0.20464181771574602,45.98360785681372,0.06579074890421402,-0.08863151890863406,7.971941826902627,-5.948661006590984,3.1539666144670644,-1729.4790393118133,0
1999-04-23,-0.0007249420442416927,0.23655129789140442,42.188697201504716,0.06832872007859664,-0.1282242012834711,7.072514546776478,-9.646240297278327,1.651624264913991,-1534.241967022281,0
1999-04-26,-0.0009002063296812536,0.2787408312325523,38.50570606577947,0.07338155653602221,-0.162794292942655,4.47806805735638,-12.312514251230747,1.581778501828912,-1336.901462838947,1
1999-04-27,-0.0010319809562817225,0.27088119903736085,35.195096045380176,0.06895117728236069,-0.06512782270376413,14.747302571269831,-13.22163540542058,2.634937442527935,-1319.18962499164,1
1999-04-28,-0.0011313853183834047,0.27884062907611945,45.318365617301936,0.06769476733905483,-0.06735554702267428,26.012155255478383,-14.39005956550506,1.3545924582442272,-1270.3440847635748,1
1999-04-29,-0.001202711028897879,0.2722789801611197,44.781003104680885,0.06484228200005573,-0.05974384444274203,37.96279533965966,-14.45838696386711,0.577365876122496,-1260.0760019343365,1
1999-04-30,-0.0012416451483987622,0.2683417320965811,44.781003104680885,0.06329888199067721,-0.04104583812232436,42.825899284500096,-11.42068412198383,1.1437574283424086,-1310.1353993134376,0
1999-05-03,-0.0012512576988383199,0.2676867098213946,46.261839781323694,0.06056328914478465,-0.030668093571340184,49.61012437671167,-7.65173264257997,0.40483505125039476,-1319.7242991632813,1
1999-05-04,-0.0012723693310993842,0.27829876749164767,47.025349499491476,0.06512495048728614,-0.07855143967926793,46.52096266826787,-7.429023904976165,1.1312114873650292,-1261.045868563098,1
1999-05-05,-0.001284221272483664,0.2634472874608658,41.89033996159627,0.06422585096187146,-0.05048752139033319,43.78344413877427,-6.632975430301217,1.6490555707637558,-1263.6559388832734,0
1999-05-06,-0.0012981444983911625,0.2352596403387947,44.34428827338417,0.0654328939971944,-0.058882461865275425,36.24225877207529,-6.582623222123379,0.42938572379271434,-1372.7984255934743,0
1999-05-07,-0.00130656622583626,0.20400593303829961,42.56943584465779,0.06349637266818604,-0.04478313964367509,38.62792759029648,-7.567387254382432,0.3058498928644809,-1524.1168244098724,1
1999-05-10,-0.00130812031103809,0.1864609095101107,43.235792943773816,0.06100240155599139,-0.03789008716053739,41.36367456385557,-7.347869181061588,0.2427112623945538,-1650.3072795089934,0
1999-05-11,-0.0012711480101713646,0.17823590239897077,43.23579294377382,0.059576188841303286,0.01609274994115216,57.08181236089354,-3.456033310054557,1.9546571974870255,-1786.627291787148,0
1999-05-12,-0.0011903704551528681,0.18068452694289278,49.977415030958014,0.056268656642518365,0.046376238031541575,76.3983365226993,1.0653102482612826,1.7947537965945697,-1818.9836097354457,0
1999-05-13,-0.0010836580133390117,0.17733224689401758,53.54316345753096,0.05436437005215408,0.0470973035930385,88.3017981872816,3.339578648078613,0.7317195660907995,-1810.8009646625394,0
1999-05-14,-0.0009970473020770782,0.15376380611423168,53.543163457530966,0.05824526298737243,-0.002853158782686283,77.88581318717507,4.857840377224687,0.29944957834671515,-2027.8794163629818,0
1999-05-17,-0.0008962189177865998,0.1519400745957438,46.683838050283796,0.05607144861337611,0.04598296894230389,71.62612877583445,6.51972404376888,0.3753243154739414,-2171.7902695776916,0
1999-05-18,-0.00076063718156004,0.17142254385136815,52.42780505912532,0.05518444385226441,0.09107297966609945,74.0077250457179,6.787293320857222,1.5234280750856537,-2084.4328995273195,1
1999-05-19,-0.0006377314065169065,0.17069599690091158,57.373408620589295,0.064260917328638,0.042912022050592635,73.58103589460347,4.126059882568159,3.7586867960699735,-1955.0175613254742,1
1999-05-20,-0.0005776175853083437,0.17474169318302354,51.59679261046016,0.0743275377607939,-0.03797546947542599,53.17503806403945,3.1604878742411464,1.5134033228009378,-1937.1939618672786,1
1999-05-21,-0.0005711556857111662,0.17826598858656628,43.50963875107108,0.07421699353907929,-0.05807976087689745,25.64329637192391,2.3156846303676875,2.3972550803760995,-1850.1522405284963,1
1999-05-24,-0.0005994487637736004,0.1661506873992721,41.74847720027115,0.07259670625984908,-0.06302273469016793,12.393339712486465,0.8045794495403961,1.2649579031866633,-1907.318919400411,1
1999-05-25,-0.0006425120989236322,0.17401690552417576,41.445439979962636,0.06848762955372288,-0.053310730290802605,10.256664747931865,-1.339003797614772,1.051426797804031,-1830.923213499525,1
1999-05-26,-0.0006931853050519336,0.18179164219870228,42.34339239667434,0.06750567967804447,-0.05414928537219634,10.256664747931865,-2.454465122103069,0.8518612504636046,-1755.176219802536,1
1999-05-27,-0.0007485560826287149,0.19040411938471868,41.99792826168805,0.0642077664007619,-0.058171752721820125,9.82998093015247,-4.149291648223882,0.6603646445004909,-1646.6138997429696,1
1999-05-28,-0.0007960243079124777,0.19479443997475743,41.26990381473544,0.060012596809020984,-0.04453055299376955,9.82998093015247,-5.343748641339528,0.7142442815986388,-1622.5463610599033,1
1999-06-01,-0.0008321625973101571,0.19677683882236216,42.86768181376307,0.057086557455259146,-0.03766839755663905,10.683332155047673,-6.77848296570439,0.7737388584242562,-1599.610483909894,1
1999-06-02,-0.0008781810562300472,0.20693363035134427,43.4188530458064,0.057722186739368894,-0.0705025322978153,8.119989783377266,-7.945395363881255,1.008237722446399,-1532.474529729319,1
1999-06-03,-0.0009114438091834877,0.21144618994565717,39.326819764209816,0.054587815930812425,-0.04368018555432812,7.263362990028133,-9.427577197659952,0.3354573802560477,-1502.3423306344837,1
1999-06-04,-0.0009287264247742238,0.21368548118596495,43.34985977987832,0.051102192435094625,-0.03567101363508519,6.836679172248738,-10.454278954276907,0.6258922962709155,-1475.443390336244,1
1999-06-07,-0.0009267321005174286,0.214816404910795,44.48556305281193,0.0487464282712002,-0.02437573658102162,11.966642766176177,-10.136657540451795,0.9546128636555045,-1472.5937551358015,1
1999-06-08,-0.0008961131948345771,0.2144853769230457,46.22484649137346,0.04717329127428922,-0.0001750121074020743,17.096609642236356,-7.803395257879117,1.1128338240161664,-1476.8815014897075,1
1999-06-09,-0.0008367292857185761,0.2117698265376855,50.14415015146804,0.04577095674546342,0.01874769410710347,33.251236741362646,-4.960457984628898,0.7106508027522935,-1524.224238189207,0
1999-06-10,-0.0007584479149041889,0.2014487723789451,52.79197985534928,0.04334183329262655,0.02499843638704333,55.89903385745394,-1.578638174166239,0.28350612629594724,-1626.2012012161595,1
1999-06-11,-0.0006831573467035233,0.18834627666045778,53.32506592982014,0.04538869607815709,0.007476303138363465,68.89185014507586,1.8754419619642726,0.48085653753026636,-1838.8663798341695,0
1999-06-14,-0.0006349778495927394,0.18933720635791237,49.694390629129174,0.04752734657776619,-0.028910273410493032,57.78288103771969,3.5970807851282642,0.4033966296136615,-1903.3283180570866,0
1999-06-15,-0.0006048694525017213,0.17679173183625682,43.805167943447685,0.045707647244823055,-0.023682213405278468,38.89743130227001,3.3858751606592987,0.38300173413638144,-2027.0223625231833,0
1999-06-16,-0.0005696788518460938,0.12489178227303865,43.80516794344769,0.04531194448042029,0.011550524664548627,35.5606929510155,2.7221664842722513,0.5180067163314934,-2574.061093846238,0
1999-06-17,-0.0005484576916074815,0.0920221438546794,48.909811047668356,0.0459379406924561,-0.011978849820727978,35.5606929510155,1.2478444210948794,0.7101264671094532,-3756.0898951295817,0
1999-06-18,-0.0005566273578271259,0.10133631001243532,44.55152013004673,0.0475551003002554,-0.04552731482016045,26.66838197644645,0.364020426648234,1.5184003305861016,-3803.9684681508306,0
1999-06-21,-0.000552436854463048,0.10099877431602924,39.777315236403446,0.04554162271384014,0.004744354571724652,23.47861628413184,0.7335698020634493,0.8923669018601668,-3862.1584472972463,0
1999-06-22,-0.0005498620094178001,0.10099877431602924,48.15468124659787,0.04597082293039043,-0.01348396466306823,23.955806678462125,0.43824145692704014,2.030851574137191,-3789.0203213621285,0
1999-06-23,-0.0005367793432085658,0.10085295382510466,45.70582747656868,0.04476091045993839,0.004195489477910043,38.542111988024914,-0.07432051771391002,2.128205749158453,-3765.2710888424363,0
1999-06-24,-0.0005290492859098902,0.1017285430957204,48.524899838961936,0.04513358345179198,-0.01729710142183916,32.28512536848902,-0.8474540971831009,1.1563200115632002,-3733.124776143039,0
1999-06-25,-0.0005155612855510754,0.10039634505274218,45.47509522726061,0.04364418406173446,-0.003459398271723754,35.413618678256995,-1.6684485968687528,0.7413859852884244,-3785.7359556610168,1
1999-06-28,-0.0004896840621293837,0.10054057146094793,47.82778281164263,0.042769162820011,0.010174878602436835,37.49397603471981,-2.799091800641496,1.0892108729493475,-3770.909973210197,1
1999-06-29,-0.0004500437908086115,0.10204412729662933,50.14446559159748,0.041068265210197775,0.019788721566796036,51.789245170368616,-2.793362097363791,0.927629524655922,-3611.974161899905,1
1999-06-30,-0.00035089776741336026,0.13403111002897392,51.87169663827211,0.040854703696295715,0.10211060700619962,72.62458382503465,-0.2934345202074894,2.519143967124026,-3062.8061272057703,1
