,Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_Signal,BB_Lower,BB_Mid,BB_Upper,ATR,Stoch_K,Stoch_D,OBV,CCI,ROC
0,1999-01-22,0.037615169,0.041016001,0.048827998,0.038802002,0.043749999,2714688000.0,,,,,,,,,,,,,,,,
1,1999-01-25,0.041555878,0.045313001,0.045832999,0.041016001,0.044271,510480000.0,,,,,100.0,,,,,,,,,510480000.0,,
2,1999-01-26,0.038331419,0.041797001,0.046744999,0.041145999,0.045832999,343200000.0,,,,,94.07851525001263,,,,,,,,,167280000.0,,
3,1999-01-27,0.03821218,0.041666999,0.042969,0.039583001,0.041926999,244368000.0,,,,,93.85721386907943,,,,,,,,,-77088000.0,,
4,1999-01-28,0.038092051,0.041536,0.041926999,0.041276,0.041666999,227520000.0,,,,,93.61823651116096,,,,,,,,,-304608000.0,,
5,1999-01-29,0.036300983,0.039583001,0.041666999,0.039583001,0.041536,244032000.0,,,,,89.94145575725581,,,,,,,,,-548640000.0,,
6,1999-02-01,0.037018139,0.040364999,0.040624999,0.039583001,0.039583001,154704000.0,,,,,90.10896444843212,,,,,,,,,-393936000.0,,
7,1999-02-02,0.034152262,0.037239999,0.040624999,0.036068,0.039583001,264096000.0,,,,,84.08283283552994,,,,,,,,,-658032000.0,,
8,1999-02-03,0.034868501,0.038020998,0.038541999,0.036458001,0.036719002,75120000.0,,,,,84.36426520611933,,,,,,,,,-582912000.0,,
9,1999-02-04,0.036778785,0.040104002,0.041145999,0.038020998,0.038541999,181920000.0,,,,,85.11994385368337,,,,,,,,,-400992000.0,,
10,1999-02-05,0.037853617,0.041276,0.041666999,0.039714001,0.040755,136848000.0,,,,,85.54330341422596,,,,,,,,,-264144000.0,,
11,1999-02-08,0.036540333,0.039843999,0.041666999,0.039843999,0.041536,154080000.0,,,0.04064683333333333,,82.45635022745896,,,,,,,,,-418224000.0,,
12,1999-02-09,0.035106938,0.038281001,0.040885001,0.037760001,0.040624999,86976000.0,,,0.040282859128205124,,79.10108948270087,,,,,,,,,-505200000.0,,-6.668129347861097
13,1999-02-10,0.034749277,0.037891001,0.039322998,0.037239999,0.038281001,148224000.0,,,0.03991488095463511,,78.24552539401715,,,,,,0.0033110702142857143,,,-653424000.0,,-16.379405107156767
14,1999-02-11,0.037734382,0.041145999,0.042707998,0.038020998,0.038020998,132240000.0,,,0.04010428373084509,,80.17303731909561,,,,,,0.0034186364132653057,,,-521184000.0,,-1.5575328000207425
15,1999-02-12,0.039884031,0.04349,0.043749999,0.041666999,0.041666999,109728000.0,,,0.04062516315686892,,81.4478173063296,,,,,,0.0033604480980320693,43.78697667063764,,-411456000.0,,4.3751675036639845
